iter	RMSE
0	0.5125050581
1	0.509915948
2	0.507748778
3	0.5058158654
4	0.5040685676
5	0.5023175052
6	0.5008940439
7	0.4994038379
8	0.498252677
9	0.4971570737
10	0.4961517527
11	0.4952700154
12	0.4942343314
13	0.4933351458
14	0.4924815926
15	0.4916695822
16	0.4911399283
17	0.4903515078
18	0.4897606498
19	0.4890150455
20	0.4885004978
21	0.4880139399
22	0.487634815
23	0.4869898192
24	0.4863565376
25	0.4857963201
26	0.4850864646
27	0.4845685224
28	0.4840895985
29	0.4835683414
30	0.483261271
31	0.4828981584
32	0.4823157411
33	0.4820149362
34	0.4816716751
35	0.4812035785
36	0.4808185699
37	0.4804995252
38	0.4802174642
39	0.4799399362
40	0.4794940461
41	0.4789640583
42	0.4786646378
43	0.4782382267
44	0.4778174121
45	0.4775461487
46	0.4772473172
47	0.4770440139
48	0.4767688284
49	0.476442606
50	0.4761909682
51	0.4757895467
52	0.4752946727
53	0.4749189504
54	0.4746219448
55	0.4743262658
56	0.4738358881
57	0.473568648
58	0.4732018112
59	0.4729291741
60	0.4727294625
61	0.4725541868
62	0.4723043051
63	0.4721945456
64	0.4717829305
65	0.4715506201
66	0.4712845625
67	0.4709674413
68	0.4705830232
69	0.4703112111
70	0.4700295132
71	0.4698206224
72	0.4697323264
73	0.4694476248
74	0.4691615557
75	0.4688680442
76	0.4686411913
77	0.4682890451
78	0.4682103371
79	0.4680144638
80	0.4678575111
81	0.4674532455
82	0.4669995181
83	0.4668323193
84	0.4665893982
85	0.4661073307
86	0.4659165116
87	0.4656336379
88	0.4653596096
89	0.4652733396
90	0.4650856705
91	0.4649494794
92	0.4647318717
93	0.4643447507
94	0.4640615574
95	0.4638297864
96	0.463687589
97	0.4633273655
98	0.4631753117
99	0.4629764879
100	0.4626898322
101	0.4625001879
102	0.4624065577
103	0.4623063641
104	0.4621465929
105	0.4619342169
106	0.4615546696
107	0.461358825
108	0.4611381829
109	0.4609307443
110	0.46081507
111	0.4606651137
112	0.4602731907
113	0.4600256069
114	0.4598260209
115	0.4595065954
116	0.4594598807
117	0.4593860756
118	0.4591396526
119	0.4589792812
120	0.4587538361
121	0.4585995619
122	0.4584980239
123	0.4584139004
124	0.4582014917
125	0.4581339434
126	0.4579174211
127	0.4577384231
128	0.4574363728
129	0.4572406162
130	0.4570787124
131	0.4568931813
132	0.4567040408
133	0.456515232
134	0.4564820923
135	0.4563494445
136	0.4562024445
137	0.456025822
138	0.4558207022
139	0.4555343441
140	0.4553672625
141	0.4551766113
142	0.454861583
143	0.454565722
144	0.4543845303
145	0.4542489631
146	0.4541142612
147	0.4538137387
148	0.4536782782
149	0.4534959501
150	0.4533586099
151	0.4531107236
152	0.4528671289
153	0.452789364
154	0.4525927729
155	0.4524316344
156	0.4520649949
157	0.4519455111
158	0.4518736128
159	0.4516613605
160	0.4513974049
161	0.4511952711
162	0.4510295037
163	0.4509625072
164	0.4508904284
165	0.45065526
166	0.4504855041
167	0.4502263351
168	0.4500844445
169	0.4498011396
170	0.44946491
171	0.4491458568
172	0.4488577975
173	0.4487839945
174	0.448647936
175	0.4485854309
176	0.4483224605
177	0.4481548307
178	0.4478750181
179	0.447713553
180	0.4474424319
181	0.4473830832
182	0.4472294568
183	0.4471120448
184	0.4469914828
185	0.4467929314
186	0.4466310511
187	0.4464650458
188	0.4462963834
189	0.4461983302
190	0.4460352625
191	0.4459720038
192	0.4457805375
193	0.4457215321
194	0.4454899875
195	0.4453367173
196	0.4452348933
197	0.444929526
198	0.4448625057
199	0.4447695069
200	0.4446243618
201	0.4444833292
202	0.4443924348
203	0.4442962149
204	0.4441252964
205	0.4439583134
206	0.4438628257
207	0.4437776996
208	0.4436353788
209	0.4433475846
210	0.4431562925
211	0.4430652325
212	0.4429976106
213	0.4427555984
214	0.4426242985
215	0.4425095993
216	0.4424632003
217	0.4423949492
218	0.4423130869
219	0.4421053045
220	0.4420642301
221	0.4419662001
222	0.4418823071
223	0.4418340546
224	0.4416239613
225	0.4415174602
226	0.4414997912
227	0.4413638438
228	0.4413506096
229	0.4412321758
230	0.4412040761
231	0.441150545
232	0.4409760781
233	0.4409049752
234	0.4408862912
235	0.4407539977
236	0.4407180411
237	0.4406946704
238	0.4406813905
239	0.4406213891
240	0.4404720361
241	0.4404329892
242	0.4402931879
243	0.4401583452
244	0.4400097075
245	0.4397038321
246	0.4396231259
247	0.4393852531
248	0.4392952695
249	0.4391217445
250	0.439045263
251	0.4389205612
252	0.4388629633
253	0.4387026304
254	0.4385011657
255	0.4383664595
256	0.4382844753
257	0.4381642253
258	0.4381567329
259	0.438043538
260	0.4379601485
261	0.4378836242
262	0.437843984
263	0.4377590968
264	0.4375927986
265	0.4375050467
266	0.4374787559
267	0.4373282397
268	0.4372515618
269	0.4371884847
270	0.4370533244
271	0.4369004914
272	0.4367621244
273	0.4365742777
274	0.4365067648
275	0.4364961163
276	0.436386462
277	0.4362394921
278	0.4362053197
279	0.4361242567
280	0.4359882704
281	0.4359216504
282	0.4358377023
283	0.4357369391
284	0.4356238495
285	0.4354806902
286	0.4353480906
287	0.4353271192
288	0.4352955469
289	0.4352324779
290	0.4350389771
291	0.4349685082
292	0.4349288628
293	0.4347216093
294	0.4346086067
295	0.4345038196
296	0.4344688845
297	0.4343375394
298	0.4342027962
299	0.434136553
300	0.4340087179
301	0.4338970194
302	0.4338231327
303	0.4336565419
304	0.4336082665
305	0.4334473387
306	0.4332451804
307	0.4332316246
308	0.4331166379
309	0.4329889454
310	0.4328898382
311	0.4328132305
312	0.4326813666
313	0.4324724634
314	0.4323633488
315	0.4322804693
316	0.4321946017
317	0.4320840871
318	0.4319109367
319	0.4316617495
320	0.4314459449
321	0.4312426215
322	0.4311183536
323	0.4310569952
324	0.4310206544
325	0.4308780159
326	0.4307250556
327	0.4306791103
328	0.430635828
329	0.4305830235
330	0.4304196443
331	0.4303043307
332	0.4302008754
333	0.4301635655
334	0.4299448825
335	0.4298660391
336	0.4297942107
337	0.4297569009
338	0.4297033951
339	0.429625589
340	0.4293967406
341	0.4293056056
342	0.4291746194
343	0.4291667577
344	0.4290806317
345	0.4290627391
346	0.4290459366
347	0.4288363193
348	0.4288207352
349	0.4287632027
350	0.4286512571
351	0.4285631829
352	0.4284448718
353	0.4283028193
354	0.4280566081
355	0.4277935619
356	0.4275565207
357	0.4274546726
358	0.4273027817
359	0.427232963
360	0.4270846778
361	0.4268990705
362	0.4268412327
363	0.4266927135
364	0.4265080893
365	0.4263989115
366	0.4263271096
367	0.426232362
368	0.4261153667
369	0.4258537417
370	0.4257341332
371	0.4257024818
372	0.4255719748
373	0.4252617568
374	0.425134621
375	0.4250216769
376	0.4249844542
377	0.4247630211
378	0.4245421376
379	0.4245162848
380	0.4243180398
381	0.4242028695
382	0.424095824
383	0.4240620022
384	0.4239435566
385	0.4238697236
386	0.4238661564
387	0.4238030789
388	0.423520427
389	0.4233958991
390	0.4232501148
391	0.4231136415
392	0.4230325493
393	0.4229718938
394	0.4228549733
395	0.4227852555
396	0.4226737401
397	0.4225334125
398	0.4224330479
399	0.4222702502
400	0.4220731974
401	0.4219865574
402	0.4218923845
403	0.4218443256
404	0.4217218667
405	0.4216624901
406	0.4216326354
407	0.4214369645
408	0.4213584812
409	0.4213166243
410	0.4211966311
411	0.4211181548
412	0.4210339471
413	0.4209930466
414	0.420932853
415	0.4208158381
416	0.4206875727
417	0.4206185339
418	0.420529156
419	0.4203323372
420	0.4202465792
421	0.4201174824
422	0.4199296575
423	0.4198337988
424	0.4197641779
425	0.4197277582
426	0.4196444235
427	0.4196049757
428	0.4195548979
429	0.4194804577
430	0.4194200578
431	0.4193135996
432	0.4192887898
433	0.419199017
434	0.4191128501
435	0.4190561001
436	0.4190245449
437	0.4189776416
438	0.4188378788
439	0.4187457205
440	0.4186710982
441	0.4186421694
442	0.4185565786
443	0.4184202755
444	0.4183074132
445	0.41820453
446	0.4181386539
447	0.4180984866
448	0.4180546423
449	0.4180213566
450	0.4179449947
451	0.4178812505
452	0.4177575445
453	0.4176784382
454	0.4175422254
455	0.4174539642
456	0.4173526725
457	0.417300417
458	0.4171197767
459	0.4170686003
460	0.4170284459
461	0.416942691
462	0.4168405384
463	0.4167148183
464	0.4166346436
465	0.4165298539
466	0.416431147
467	0.4163815451
468	0.4162140438
469	0.4161030033
470	0.4159308879
471	0.415781487
472	0.4157177783
473	0.4156151876
474	0.4155006084
475	0.4153925291
476	0.4153410061
477	0.4152375421
478	0.4151927024
479	0.4151092248
480	0.4150367172
481	0.4148883946
482	0.4147915676
483	0.4147103317
484	0.4144970492
485	0.4144437235
486	0.4143255285
487	0.4142762614
488	0.4141780351
489	0.4140194175
490	0.4139071061
491	0.4137751352
492	0.4137107921
493	0.41367726
494	0.4136115257
495	0.4134491199
496	0.4133796332
497	0.4131985925
498	0.4131114438
499	0.4130577202
500	0.4130026686
501	0.412893172
502	0.4128093956
503	0.4127154145
504	0.4126438702
505	0.4125823846
506	0.4124370206
507	0.4123956962
508	0.412266748
509	0.4121521773
510	0.4120960152
511	0.4120176291
512	0.4118878891
513	0.4118497033
514	0.4117958924
515	0.4117171941
516	0.4116540198
517	0.4115138226
518	0.4113749497
519	0.4112903648
520	0.4112693688
521	0.4111580373
522	0.4110473993
523	0.4110171335
524	0.4109291251
525	0.4108663301
526	0.4108295621
527	0.4107147953
528	0.4106628457
529	0.4105738122
530	0.4104692104
531	0.410408214
532	0.4103041404
533	0.4101956817
534	0.4100965942
535	0.4100131436
536	0.4099543062
537	0.4099031822
538	0.4098245353
539	0.4096990977
540	0.4096592133
541	0.4096157418
542	0.4095248302
543	0.4094582864
544	0.4093504091
545	0.4092881053
546	0.409223491
547	0.4091968819
548	0.4091740786
549	0.4090328216
550	0.4088942859
551	0.4088552921
552	0.4087565168
553	0.4087405965
554	0.4086598081
555	0.4085757737
556	0.4084847551
557	0.4083770064
558	0.4083476692
559	0.4082625591
560	0.4081868495
561	0.4081284012
562	0.4080183222
563	0.4078853922
564	0.4077956466
565	0.4077180033
566	0.4075585222
567	0.4074851421
