iter	Passed	Remaining
0	3	3801
1	7	3540
2	15	5184
3	18	4720
4	22	4380
5	25	4201
6	28	4054
7	31	3941
8	34	3828
9	38	3787
10	42	3818
11	45	3705
12	47	3642
13	50	3586
14	54	3559
15	59	3663
16	62	3619
17	64	3533
18	67	3462
19	70	3457
20	73	3410
21	75	3376
22	78	3317
23	80	3279
24	83	3242
25	85	3204
26	87	3170
27	91	3168
28	96	3216
29	98	3188
30	101	3157
31	103	3128
32	110	3249
33	114	3239
34	116	3210
35	118	3175
36	125	3263
37	128	3243
38	130	3216
39	132	3186
40	137	3219
41	143	3264
42	145	3237
43	147	3214
44	152	3244
45	158	3280
46	160	3259
47	163	3236
48	169	3285
49	175	3342
50	178	3329
51	181	3310
52	189	3380
53	191	3360
54	194	3339
55	196	3311
56	204	3381
57	207	3365
58	209	3340
59	211	3313
60	216	3332
61	220	3335
62	222	3311
63	224	3286
64	227	3268
65	232	3286
66	237	3301
67	239	3283
68	242	3266
69	247	3290
70	251	3291
71	254	3274
72	256	3261
73	259	3248
74	264	3267
75	268	3258
76	270	3239
77	272	3222
78	276	3219
79	283	3264
80	285	3243
81	288	3227
82	294	3249
83	297	3241
84	299	3223
85	301	3205
86	303	3186
87	307	3190
88	312	3197
89	314	3179
90	316	3163
91	318	3145
92	321	3132
93	327	3152
94	329	3136
95	331	3118
96	333	3102
97	335	3086
98	339	3091
99	343	3092
100	345	3079
101	347	3063
102	349	3047
103	352	3038
104	358	3053
105	360	3043
106	362	3028
107	364	3014
108	367	3000
109	373	3022
110	376	3011
111	378	2998
112	380	2984
113	382	2970
114	387	2981
115	390	2979
116	393	2966
117	395	2953
118	397	2940
119	401	2941
120	406	2952
121	409	2943
122	411	2930
123	413	2917
124	417	2924
125	420	2915
126	422	2905
127	425	2896
128	427	2886
129	430	2879
130	432	2869
131	434	2859
132	437	2850
133	439	2843
134	444	2849
135	450	2864
136	453	2855
137	455	2844
138	457	2833
139	459	2822
140	467	2848
141	470	2839
142	472	2829
143	474	2819
144	476	2810
145	483	2827
146	485	2817
147	487	2807
148	489	2796
149	491	2786
150	497	2799
151	500	2792
152	502	2782
153	504	2772
154	506	2762
155	513	2775
156	516	2772
157	518	2762
158	520	2752
159	522	2742
160	528	2753
161	531	2749
162	533	2740
163	535	2731
164	537	2721
165	542	2724
166	546	2725
167	548	2716
168	550	2706
169	552	2697
170	555	2691
171	560	2699
172	563	2691
173	565	2682
174	567	2674
175	569	2665
176	574	2669
177	577	2666
178	579	2658
179	581	2650
180	583	2641
181	586	2633
182	592	2643
183	594	2635
184	596	2629
185	599	2622
186	602	2617
187	607	2625
188	610	2620
189	612	2611
190	614	2603
191	616	2595
192	622	2604
193	625	2598
194	628	2594
195	630	2587
196	634	2586
197	637	2580
198	639	2573
199	641	2566
200	644	2562
201	649	2565
202	653	2566
203	658	2569
204	660	2562
205	662	2555
206	666	2553
207	671	2556
208	673	2549
209	675	2542
210	677	2534
211	680	2529
212	686	2535
213	688	2528
214	690	2520
215	692	2513
216	694	2505
217	699	2507
218	702	2504
219	704	2497
220	706	2489
221	708	2481
222	710	2474
223	716	2481
224	718	2475
225	720	2468
226	722	2460
227	724	2453
228	728	2451
229	733	2455
230	735	2449
231	737	2442
232	739	2435
233	744	2436
234	748	2435
235	750	2429
236	752	2422
237	754	2414
238	756	2407
239	763	2416
240	765	2412
241	767	2405
242	770	2398
243	772	2392
244	778	2399
245	781	2394
246	783	2387
247	785	2381
248	787	2374
249	793	2380
250	796	2376
251	798	2370
252	800	2363
253	802	2356
254	807	2359
255	811	2357
256	813	2352
257	815	2346
258	817	2340
259	822	2340
260	824	2334
261	826	2328
262	828	2322
263	831	2317
264	836	2318
265	840	2319
266	844	2319
267	846	2313
268	849	2307
269	852	2303
270	857	2306
271	859	2301
272	861	2295
273	863	2289
274	867	2287
275	872	2288
276	874	2282
277	876	2276
278	878	2270
279	880	2264
280	886	2267
281	888	2263
282	891	2257
283	893	2251
284	895	2245
285	898	2243
286	903	2244
287	905	2238
288	907	2233
289	909	2227
290	912	2222
291	918	2227
292	921	2223
293	923	2217
294	925	2212
295	927	2206
296	933	2209
297	936	2204
298	938	2199
299	940	2193
300	942	2187
301	945	2186
302	950	2185
303	952	2181
304	954	2175
305	956	2169
306	958	2164
307	963	2165
308	966	2161
309	968	2156
310	970	2150
311	972	2145
312	975	2140
313	981	2143
314	983	2138
315	985	2132
316	987	2127
317	989	2121
318	995	2125
319	998	2122
320	1000	2117
321	1003	2112
322	1005	2106
323	1012	2111
324	1014	2107
325	1017	2102
326	1019	2098
327	1021	2093
328	1025	2092
329	1027	2086
330	1030	2081
331	1032	2076
332	1036	2076
333	1040	2075
334	1042	2070
335	1045	2065
336	1065	2096
337	1068	2092
338	1077	2100
339	1079	2095
340	1082	2092
341	1086	2090
342	1092	2092
343	1095	2088
344	1097	2084
345	1100	2079
346	1106	2081
347	1109	2077
348	1112	2074
349	1114	2069
350	1120	2071
351	1123	2068
352	1126	2064
353	1128	2059
354	1135	2062
355	1139	2061
356	1142	2058
357	1145	2053
358	1148	2051
359	1153	2051
360	1156	2046
361	1158	2041
362	1160	2036
363	1164	2034
364	1169	2034
365	1171	2029
366	1174	2025
367	1176	2019
368	1178	2015
369	1184	2016
370	1187	2013
371	1189	2007
372	1191	2002
373	1195	2000
374	1199	1998
375	1201	1994
376	1203	1989
377	1206	1984
378	1208	1980
379	1212	1977
380	1214	1973
381	1216	1968
382	1218	1963
383	1221	1959
384	1224	1955
385	1226	1951
386	1228	1946
387	1231	1942
388	1233	1937
389	1236	1934
390	1239	1929
391	1242	1927
392	1244	1922
393	1247	1918
394	1249	1913
395	1251	1908
396	1253	1903
397	1255	1899
398	1258	1894
399	1260	1890
400	1262	1885
401	1264	1880
402	1266	1875
403	1268	1870
404	1270	1865
405	1272	1861
406	1274	1857
407	1276	1852
408	1278	1847
409	1280	1842
410	1282	1837
411	1284	1832
412	1286	1828
413	1288	1823
414	1290	1819
415	1292	1815
416	1295	1810
417	1297	1805
418	1298	1801
419	1300	1796
420	1302	1791
421	1306	1789
422	1308	1785
423	1310	1780
424	1312	1775
425	1314	1770
426	1316	1766
427	1317	1761
428	1321	1758
429	1324	1755
430	1325	1750
431	1327	1745
432	1329	1741
433	1331	1736
434	1333	1731
435	1336	1728
436	1338	1723
437	1339	1719
438	1341	1714
439	1343	1710
440	1345	1705
441	1347	1700
442	1348	1696
443	1351	1692
444	1353	1688
445	1355	1683
446	1357	1679
447	1359	1674
448	1360	1670
449	1362	1665
450	1364	1661
451	1366	1656
452	1368	1652
453	1370	1647
454	1371	1643
455	1373	1638
456	1375	1634
457	1377	1629
458	1379	1625
459	1381	1621
460	1383	1617
461	1385	1613
462	1386	1608
463	1388	1604
464	1390	1599
465	1391	1595
466	1393	1590
467	1396	1587
468	1398	1583
469	1400	1579
470	1402	1575
471	1404	1571
472	1406	1566
473	1408	1562
474	1410	1558
475	1412	1554
476	1414	1550
477	1416	1546
478	1418	1542
479	1419	1538
480	1421	1533
481	1423	1530
482	1425	1526
483	1428	1523
484	1431	1520
485	1433	1515
486	1435	1511
487	1436	1507
488	1438	1503
489	1440	1499
490	1442	1495
491	1443	1490
492	1446	1487
493	1448	1483
494	1449	1479
495	1451	1474
496	1453	1470
497	1455	1466
498	1456	1462
499	1458	1458
500	1460	1454
501	1462	1450
502	1464	1446
503	1465	1442
504	1467	1438
505	1469	1434
506	1471	1430
507	1472	1426
508	1474	1422
509	1476	1418
510	1478	1414
511	1480	1410
512	1482	1407
513	1483	1403
514	1485	1399
515	1487	1395
516	1489	1391
517	1490	1387
518	1492	1383
519	1494	1379
520	1496	1376
521	1498	1372
522	1500	1368
523	1502	1364
524	1503	1360
525	1505	1356
526	1507	1352
527	1509	1349
528	1511	1345
529	1513	1341
530	1514	1338
531	1516	1334
532	1518	1330
533	1520	1326
534	1521	1322
535	1523	1318
536	1525	1315
537	1528	1312
538	1530	1308
539	1531	1305
540	1533	1301
541	1535	1297
542	1537	1293
543	1538	1289
544	1541	1286
545	1543	1283
546	1545	1279
547	1546	1275
548	1548	1272
549	1550	1268
550	1551	1264
551	1553	1260
552	1555	1257
553	1559	1255
554	1561	1251
555	1563	1248
556	1564	1244
557	1566	1240
558	1568	1237
559	1569	1233
560	1573	1231
561	1576	1228
562	1577	1224
563	1579	1221
564	1581	1217
565	1583	1213
566	1585	1210
567	1587	1207
568	1590	1204
569	1591	1200
570	1593	1197
571	1595	1194
572	1597	1190
573	1599	1187
574	1601	1183
575	1603	1180
576	1605	1177
577	1607	1173
578	1609	1170
579	1611	1166
580	1613	1163
581	1615	1160
582	1617	1157
583	1620	1153
584	1622	1150
585	1625	1148
586	1626	1144
587	1628	1141
588	1630	1137
589	1632	1134
590	1634	1130
591	1636	1128
592	1638	1124
593	1640	1121
594	1642	1117
595	1643	1114
596	1645	1110
597	1647	1107
598	1648	1103
599	1651	1100
600	1653	1097
601	1654	1094
602	1656	1090
603	1658	1087
604	1660	1084
605	1662	1080
606	1663	1077
607	1665	1073
608	1667	1070
609	1669	1067
610	1671	1063
611	1672	1060
612	1674	1057
613	1676	1054
614	1678	1050
615	1680	1047
616	1682	1044
617	1684	1041
618	1686	1037
619	1687	1034
620	1689	1031
621	1691	1027
622	1693	1024
623	1694	1021
624	1696	1017
625	1698	1014
626	1700	1011
627	1702	1008
628	1703	1005
629	1705	1001
630	1707	998
631	1709	995
632	1710	991
633	1712	988
634	1714	985
635	1716	982
636	1718	979
637	1720	975
638	1721	972
639	1723	969
640	1725	966
641	1727	963
642	1728	959
643	1730	956
644	1732	953
645	1734	950
646	1736	947
647	1737	944
648	1739	940
649	1741	937
650	1743	934
651	1744	931
652	1746	928
653	1748	925
654	1750	921
655	1752	918
656	1753	915
657	1755	912
658	1757	909
659	1758	906
660	1760	903
661	1762	899
662	1765	897
663	1767	894
664	1769	891
665	1770	887
666	1772	884
667	1774	881
668	1775	878
669	1777	875
670	1780	872
671	1781	869
672	1783	866
673	1785	863
674	1787	860
675	1789	857
676	1791	854
677	1793	851
678	1795	849
679	1797	846
680	1799	843
681	1801	840
682	1804	837
683	1806	834
684	1808	831
685	1811	829
686	1813	826
687	1815	823
688	1817	820
689	1819	817
690	1822	814
691	1825	812
692	1827	809
693	1829	806
694	1831	803
695	1833	800
696	1835	798
697	1837	795
698	1840	792
699	1842	789
700	1845	786
701	1846	784
702	1848	781
703	1850	778
704	1852	775
705	1854	772
706	1856	769
707	1858	766
708	1860	763
709	1862	760
710	1864	757
711	1866	754
